Title1,Title2,Authors1,Authors2,Keywords1,Keywords2,Label
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,research trends on big data in marketing: a text mining and topic modeling based literature analysis,x zhou; w liang; i kevin; k wang,a amado; p cortez; p rita; s moro,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Big data Marketing Literature analysis Research trends Text mining,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"social media analytics–challenges in topic discovery, data collection, and data preparation",x zhou; w liang; i kevin; k wang,s stieglitz; m mirbabaie; b ross,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Social media analytics Social media Information systems Big data,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",x zhou; w liang; i kevin; k wang,j treur,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Topic modeling, Network-Oriented Modeling, Adaptive Network",1
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,x zhou; w liang; i kevin; k wang,b jeong; j yoon; jm lee,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,analyst information discovery and interpretation roles: a topic modeling approach,x zhou; w liang; i kevin; k wang,ah huang; r lehavy; ay zang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,x zhou; w liang; i kevin; k wang,y wang; w xu,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",x zhou; w liang; i kevin; k wang,a abdul; j vermeulen; d wang; by lim,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,applying lda topic modeling in communication research: toward a valid and reliable methodology,x zhou; w liang; i kevin; k wang,d maier; a waldherr; p miltner,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Content analysis, Communication research methods, Validity, Reliability, Textual analysis",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",x zhou; w liang; i kevin; k wang,w yin; j hay; d roth,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Classification, Topic Modelling, Zero-shot text",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,x zhou; w liang; i kevin; k wang,e de vries; m schoonvelde; g schumacher,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,the effect of online reviews on product sales: a joint sentiment-topic analysis,x zhou; w liang; i kevin; k wang,x li; c wu; f mai,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",x zhou; w liang; i kevin; k wang,h li; j zhu; c ma; j zhang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,x zhou; w liang; i kevin; k wang,x chen; d zou; g cheng; h xie,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Applications in subject areas Data science applications in education,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",x zhou; w liang; i kevin; k wang,ih sarker,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,applications of deep learning in stock market prediction: recent progress,x zhou; w liang; i kevin; k wang,w jiang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",x zhou; w liang; i kevin; k wang,s narayan; sb cohen; m lapata,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Topic-Aware Convolutional Neural Networks, Extreme Summarization",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,aspect-aware latent factor model: rating prediction with ratings and reviews,x zhou; w liang; i kevin; k wang,z cheng; y ding; l zhu; m kankanhalli,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,x zhou; w liang; i kevin; k wang,t shi; k kang; j choo; ck reddy,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Topic modeling, short texts, non-negative matrix factorization, word embedding",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,x zhou; w liang; i kevin; k wang,m jošt; e köhnen; ab morales-vilches,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","textured interfaces, solar cells, advance light management",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,the utility of topic modelling for discourse studies: a critical evaluation,x zhou; w liang; i kevin; k wang,g brookes; t mcenery,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",x zhou; w liang; i kevin; k wang,d kim; d seo; s cho; p kang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",x zhou; w liang; i kevin; k wang,h jelodar; y wang; c yuan; x feng; x jiang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,using social media to mine and analyze public opinion related to covid-19 in china,x zhou; w liang; i kevin; k wang,x han; j wang; m zhang; x wang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",coronavirus; COVID-19; social media; public opinion; China; resource allocation,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,heterogeneous graph attention networks for semi-supervised short text classification,x zhou; w liang; i kevin; k wang,h linmei; t yang; c shi; h ji; x li,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,x zhou; w liang; i kevin; k wang,s boon-itt; y skunkan,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,what do hotel customers complain about? text analysis using structural topic model,x zhou; w liang; i kevin; k wang,n hu; t zhang; b gao; i bose,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",x zhou; w liang; i kevin; k wang,m hossain; m abdel-aty; ma quddus,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",ITS Real-time crash prediction model Design pathway Universal design requirements,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,topic modeling in management research: rendering new theory from textual data,x zhou; w liang; i kevin; k wang,tr hannigan; rfj haans; k vakili,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,x zhou; w liang; i kevin; k wang,e park; b chae; j kwon,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","topical structure modeling, topic modeling",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,x zhou; w liang; i kevin; k wang,h jelodar; y wang; r orji,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",x zhou; w liang; i kevin; k wang,zc lipton,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Machine larning, Model Interpretability",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,what is wrong with topic modeling? and how to fix it using search-based software engineering,x zhou; w liang; i kevin; k wang,a agrawal; w fu; t menzies,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Topic modeling, Stability, LDA, tuning, differential evolution",0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,x zhou; w liang; i kevin; k wang,q liu; z zheng; j zheng; q chen; g liu; s chen,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,0
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,x zhou; w liang; i kevin; k wang,c bravo gonzález-blas; l minnoye; d papasokrati,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","cis-Regulator, topic modeling",0
